City,State,CityState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,NM,"Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailuku,HI,"Wailuku, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azusa,CA,"Azusa, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington,SC,"Lexington, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Elsinore,CA,"Lake Elsinore, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,OH,"Toledo, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama City,FL,"Panama City, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth,TX,"Fort Worth, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union City,PA,"Union City, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant City,FL,"Plant City, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valrico,FL,"Valrico, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,CA,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopewell,VA,"Hopewell, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terre Haute,IN,"Terre Haute, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmyra,PA,"Palmyra, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehighton,PA,"Lehighton, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,CA,"Sacramento, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,CO,"Aurora, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,SC,"Darlington, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,KS,"Kansas City, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesa,AZ,"Mesa, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City,OK,"Oklahoma City, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Creek,OH,"Apple Creek, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanford,CA,"Hanford, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,NY,"Shirley, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,NJ,"Newark, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima,WA,"Yakima, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon House,CA,"Oregon House, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,GA,"Decatur, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildwood,FL,"Wildwood, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,TN,"Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland,CA,"Upland, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,FL,"Jacksonville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,MO,"St. Louis, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pāhoa,HI,"Pāhoa, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,GA,"Calhoun, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizella,GA,"Lizella, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonesboro,AR,"Jonesboro, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,NY,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkins,AR,"Atkins, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredonia,NY,"Fredonia, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood City,CA,"Redwood City, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangely,CO,"Rangely, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrance,CA,"Torrance, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springdale,AR,"Springdale, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry,OK,"Perry, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,NY,"Staten Island, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,CA,"Tulare, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palatine,IL,"Palatine, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah,GA,"Savannah, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Wendover (Wendover),NV,"West Wendover (Wendover), NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,OH,"Columbus, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,TX,"San Benito, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Pierce,FL,"Fort Pierce, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcdonough,GA,"Mcdonough, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacheco,CA,"Pacheco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pahrump,NV,"Pahrump, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluewater Village,NM,"Bluewater Village, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,VA,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,CA,"Napa, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,TX,"Dallas, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,PA,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez,CA,"Martinez, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvin,CA,"Arvin, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogden,UT,"Ogden, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center,TX,"Center, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pensacola,FL,"Pensacola, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Valley,MS,"Water Valley, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarac,FL,"Tamarac, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Underwood,SD,"New Underwood, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulevard,CA,"Boulevard, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Town,ME,"Old Town, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji,MN,"Bemidji, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,TX,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker,AZ,"Parker, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakewood,CO,"Lakewood, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,KY,"Louisville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver,WA,"Vancouver, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pahoa,HI,"Pahoa, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,MN,"Virginia, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial,CO,"Centennial, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topeka,KS,"Topeka, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoxville,TN,"Knoxville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Albany,MS,"New Albany, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,UT,"Clinton, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Lake City,UT,"Salt Lake City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central City,KY,"Central City, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit,MI,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham,AL,"Birmingham, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Butte,CO,"Crested Butte, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,AK,"Palmer, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,IL,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talladega,AL,"Talladega, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Gardens,CA,"Bell Gardens, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stillwater,MN,"Stillwater, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,TX,"Pasadena, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,MI,"Harrison, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia,AR,"Magnolia, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,IN,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian,ID,"Meridian, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missoula,MT,"Missoula, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,GA,"Augusta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Village,CO,"Greenwood Village, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demopolis,AL,"Demopolis, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oroville,CA,"Oroville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,CA,"Hayward, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Chiswell,VA,"Fort Chiswell, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haynesville,AL,"Haynesville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg,SC,"Spartanburg, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,MA,"Auburn, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratt,KS,"Pratt, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,AZ,"Glendale, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskogee,OK,"Muskogee, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,TN,"Chattanooga, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,CA,"Alpine, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantoloking,NJ,"Mantoloking, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,CA,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbins,IL,"Robbins, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemet,CA,"Hemet, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagoner,OK,"Wagoner, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksdale,MS,"Clarksdale, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakopee,MN,"Shakopee, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Paul,MN,"St. Paul, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston View,CA,"Charleston View, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,TX,"San Antonio, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona,CA,"Corona, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kissimmee,FL,"Kissimmee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Burnie,MD,"Glen Burnie, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Charlotte,FL,"Port Charlotte, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,TN,"Newport, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair Shores,MI,"St. Clair Shores, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laramie,WY,"Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden,CO,"Golden, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandon,OR,"Bandon, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby Charter Township,MI,"Shelby Charter Township, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville,CA,"Danville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,WV,"Charleston, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho Falls,ID,"Idaho Falls, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Orange,FL,"Port Orange, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Las Vegas,NV,"North Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempe,AZ,"Tempe, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lake Tahoe,CA,"South Lake Tahoe, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnesville,GA,"Barnesville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkville,MD,"Parkville, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingwood,TX,"Kingwood, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux Falls,SD,"Sioux Falls, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,OK,"Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Lake,WA,"Martha Lake, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davenport,IA,"Davenport, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snellville,GA,"Snellville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburg,CA,"Pittsburg, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverton,UT,"Riverton, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,NC,"Washington, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy,FL,"Quincy, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McBee,SC,"McBee, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,TX,"Paris, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanaway,WA,"Spanaway, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,MA,"Brockton, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,WI,"Green Bay, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Gardens,FL,"Miami Gardens, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,GA,"Monroe, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineland,NJ,"Vineland, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat Ridge,CO,"Wheat Ridge, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartersville,GA,"Cartersville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn,WI,"Elkhorn, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinlan,TX,"Quinlan, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearns,UT,"Kearns, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longview,WA,"Longview, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma,WA,"Tacoma, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffersonville,OH,"Jeffersonville, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porterville,CA,"Porterville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainesville,GA,"Gainesville, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Smith,AR,"Fort Smith, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinle,AZ,"Chinle, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,GA,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler,AZ,"Chandler, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orem,OR,"Orem, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orem,UT,"Orem, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain View,HI,"Mountain View, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Jordan,UT,"West Jordan, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,CA,"Huntington Beach, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan,IN,"Sullivan, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,WI,"Milwaukee, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,NY,"Rochester, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand Oaks,CA,"Thousand Oaks, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise,NV,"Enterprise, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso,TX,"El Paso, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,OR,"Portland, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmersville,TX,"Farmersville, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovis,NM,"Clovis, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington,CO,"Wellington, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okarche,OK,"Okarche, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Ridge,TN,"Oak Ridge, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,HI,"Honolulu, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawtey,FL,"Lawtey, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,CA,"Auburn, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,TN,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayti,MO,"Hayti, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiloquin,OR,"Chiloquin, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarbro,WV,"Scarbro, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville,MS,"Greenville, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millbrae,CA,"Millbrae, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mableton,GA,"Mableton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorville,CA,"Victorville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hastings,MN,"Hastings, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando,FL,"Orlando, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenback,TN,"Greenback, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nampa,ID,"Nampa, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epping,NH,"Epping, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okmulgee,OK,"Okmulgee, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johns Island,SC,"Johns Island, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palatka,FL,"Palatka, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Cruces,NM,"Las Cruces, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enid,OK,"Enid, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennewick,WA,"Kennewick, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammond,LA,"Hammond, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
